id,name,meal_type,total_time_minutes,estimated_cost
1,Chicken Kolhapuri Meal,dinner,50,
2,Veg Kurma Recipe (Vegetable Korma) Meal,dinner,50,
3,Mushroom Curry (Mushroom Masala) Meal,dinner,50,
4,Paneer Tikka Masala Recipe Meal,dinner,50,
5,Paneer Do Pyaza Meal,dinner,50,
6,Masala Dosa Meal,breakfast,50,
7,Idli Sambar Meal,breakfast,40,
8,Greek Yogurt Bowl Meal,dinner,5,
9,Filter Coffee Recipe (South Indian Coffee) Meal,dinner,15,
10,Cold Coffee Recipe (Iced Coffee) Meal,dinner,10,
11,Badam Milk Recipe (Creamy Indian Almond Drink) Meal,dinner,15,
12,Poha Meal,breakfast,20,
13,Perfect Upma Meal,breakfast,25,
14,Aloo Paratha Meal,dinner,30,
15,Chilli Paneer Paratha Meal,dinner,35,
16,Chicken Chettinad Gravy Recipe Meal,dinner,50,
17,Vegetable Sandwich Meal,dinner,10,
18,Indian Egg Bhurji Meal,dinner,20,
19,Plain Omelette Meal,dinner,7,
20,Masala Omelette Meal,dinner,5,
21,Rava Kesari Meal,dinner,20,
22,Brioche French Toast Meal,dinner,20,
23,Classic Pancakes Meal,dinner,15,
24,Upgraded Oats Porridge Meal,dinner,20,
25,Vegetable Oats Upma Meal,breakfast,30,
26,16 Beetroot Recipes from Indian Cuisine Meal,dinner,15,
27,Sabudana Khichdi Meal,dinner,55,
28,Poori Bhaji Meal,dinner,30,
29,Chole Bhature Breakfast Plate Meal,dinner,60,
30,Egg Fried Rice Breakfast Meal,lunch,15,
31,Banana Smoothie Bowl Meal,dinner,5,
32,Vegetable Poha Cutlets Meal,breakfast,30,
33,Bread Pakora Meal,dinner,25,
34,Stuffed Cheese Garlic Bread Meal,dinner,15,
35,Sprouts Salad Bowl Meal,dinner,10,
36,High-Protein Chocolate Peanut Butter Breakfast Parfait Meal,dinner,10,
37,Blue Raspberry Smoothie Bowl Meal,dinner,5,
38,Mango Smoothie Bowl Meal,dinner,10,
39,Besan Chilla Meal,dinner,20,
40,Moong Dal Chilla Meal,dinner,25,
41,Rava Idli Meal,breakfast,25,
